city,country,customer_name,total_customer_payments
Apeldoorn,Netherlands,Rhonda Kennedy,191.62
Cape Coral,United States,Karl Seal,208.58
London,United Kingdom,Cecil Vines,115.74
London,United Kingdom,Mattie Hoffman,58.8
Memphis,United States,Ana Bradley,167.67
Molodetno,Belarus,Clara Shaw,189.6
Qomsheh,Iran,Tommy Collazo,183.63
Richmond Hill,Canada,Curtis Irby,167.62
Saint-Denis,Runion,Eleanor Hunt,211.55
Santa Brbara dOeste,Brazil,Marion Snyder,194.61
Tanza,Philippines,Marcia Dean,166.61
